ndvi,lulc,temperature,population,carbon_factor,carbon
0.44228306,30,32.35270270270274,0.8119479044744037,15,11.856049362534394
0.35016719,40,32.74567567567567,0.7452592475518348,10,4.033043826813708
0.42158142,10,32.74567567567567,0.7729791773711442,120,116.03687119296495
0.42900762,10,31.775128205128226,0.7947894672337936,120,117.12115308801803
0.22677077,40,32.33722222222224,1.080285589057264,10,0.0
0.24743615,40,32.62891891891894,0.8848847069314517,10,0.3697420088865888
0.2943018,30,34.976315789473745,0.727714648000866,15,5.214165211915418
0.38484398,40,34.065135135135165,1.0311625652317495,10,2.3243711089931836
0.35110816,40,33.164210526315856,1.0704109890279552,10,2.0169790657579165
0.3883266,40,33.13210526315794,1.1537392082293767,10,2.7489965258015783
0.3114841,40,33.30837837837839,1.0388238881787812,10,0.8420247486905632
0.38567615,40,33.39842105263159,1.0678683197007812,10,2.8325217819874675
0.2562658,40,33.27000000000004,1.1443913825722956,10,0.0
0.31078956,40,33.70894736842109,0.9274747337004902,10,0.9773659312587499
0.26174283,40,33.31918918918922,1.0089750361081236,10,0.0
0.29040846,40,33.01540540540543,1.017277425137073,10,0.6104615486180309
0.33363593,40,32.73972972972979,1.2503722487518443,10,1.0174872585771526
0.4223943,40,32.26052631578949,1.4617211569108373,10,3.102697481153206
0.40178138,40,32.03105263157897,1.2910390220454433,10,3.5671935903185448
0.39686686,40,32.03105263157897,1.282462899285796,10,3.462638253917948
0.42713568,40,33.10621621621624,1.207635754768322,10,3.6696750606749875
0.38797563,10,32.90473684210531,1.39722561240225,120,111.7484040357456
0.41681865,10,32.75421052631583,1.1400096028897353,120,114.0503012295891
0.38829488,10,32.679729729729786,1.6233465885387135,120,110.85238392048004
0.3094758,40,33.07157894736844,1.7854154148648436,10,0.0
0.44549763,40,33.07157894736844,1.2799375941728894,10,3.893662452977617
0.32503024,30,31.90210526315792,0.5655291022334668,15,10.021156217334362
0.39935583,10,31.426410256410293,0.5106667290017729,120,118.00093091219698
0.31066665,30,32.18076923076927,0.3661933275702372,15,10.30826334818916
0.2907834,30,32.83307692307693,0.3367073748425411,15,9.206888541390079
0.3555254,40,32.27810810810814,0.9597782837968011,10,3.5887628382749357
0.4686971,40,32.42351351351351,0.8821861091648556,10,7.2264688629645315
0.36189982,30,32.722105263157914,0.766933806507318,15,9.300220804877489
0.36045888,40,32.722105263157914,0.8142468874396551,10,4.020426632928486
0.33963302,40,32.00777777777779,0.9957475211658992,10,3.202475092747859
0.33043984,40,32.31540540540544,1.1043967273649609,10,2.0758056578458364
0.38932294,10,32.724594594594635,0.8392725220507058,120,114.75873055568415
0.1898177,30,34.74000000000001,0.7563760904444308,15,2.1726506203743554
0.2058238,30,34.74000000000001,0.5288178858507139,15,3.790624252643148
0.1829359,30,35.32578947368421,0.6636708731083993,15,1.8439328700358706
0.40540537,40,33.800810810810844,0.9121778620856885,10,3.800461083068819
0.3549656,40,32.73157894736846,0.9561998342492058,10,3.1363896865738505
0.4458748,40,32.77052631578948,1.1387341174752523,10,4.91204762133929
0.23271197,30,33.43000000000001,1.3327929953640765,15,1.8873939660806531
0.43231112,40,33.43000000000001,1.244926176019055,10,3.3147024851876887
0.3304348,30,33.790540540540576,1.4828510396811079,15,3.708248119590129
0.24810235,30,33.057894736842115,1.2393044047525805,15,3.18865399544827
0.3451223,40,33.51555555555558,1.0903289925437973,10,1.3864691474785715
0.3171337,40,32.97810810810813,0.9890455980213296,10,1.5906749607548498
0.40314135,40,31.97157894736847,1.291378507493257,10,3.665769021285228
0.3696319,40,32.45102564102564,1.036138564504429,10,3.457238267777429
0.32856628,40,32.68894736842111,1.0721855905728963,10,1.807113036108647
0.3700831,40,32.56135135135139,1.5950336050909728,10,0.5659730566646806
0.3607073,40,32.56135135135139,1.6286130495932776,10,0.11680320002327349
0.27207944,40,32.93648648648656,1.1431794737232148,10,0.0
0.293379,40,32.93648648648656,1.1426362437221311,10,0.15170230865127543
0.3455995,40,33.456666666666706,0.9261080021445378,10,2.280778427481466
0.5776962,10,31.296153846153857,0.34248388950592906,120,124.32231252630532
0.51199996,10,31.110000000000014,0.3379017939113041,120,122.56049042247608
0.51921475,10,31.110000000000014,0.3322829786928059,120,122.80502837172314
0.40217748,30,32.563888888888926,0.9779956756225676,15,9.611457166117669
0.37898484,40,32.563888888888926,0.904343493041362,10,4.2839387805805265
0.37459072,30,32.722105263157914,0.8110861827855499,15,9.460185277329117
0.4275908,40,31.16621621621624,1.010286057824211,10,6.610077494404936
0.51907384,40,31.621111111111134,0.8627135923383151,10,9.637536113310077
0.45216024,10,32.31540540540544,0.826036238643054,120,117.119220471614
0.2992631,40,33.32052631578949,0.9044962624676234,10,1.1348851788315653
0.28005117,40,34.757894736842104,0.8376201270865308,10,0.0
0.4642098,40,33.800810810810844,0.8821315398479946,10,5.714824916841955
0.2757222,40,33.30297297297301,0.9718481980736501,10,0.10945259806188101
0.3775322,40,32.73157894736846,1.0965890099787556,10,3.1114424239911154
0.35671315,10,32.48684210526318,1.303105300700415,120,111.69902543804268
0.35983709,40,33.790540540540576,1.1395770189728078,10,1.3066871602666854
0.29950097,30,32.79769230769233,1.1076118674389792,15,5.649277132829964
0.43350062,40,33.057894736842115,1.1964548625173665,10,3.9648492719182915
0.321537,40,33.51555555555558,0.9260653162679611,10,1.5002278468255916
0.29747897,40,32.97810810810813,1.1357617762983585,10,0.2674526067727081
0.3327982,40,31.97157894736847,1.3133454033580672,10,1.4456403015226966
0.29682672,40,32.04945945945951,1.2785718798850991,10,0.46248306007987683
0.34845337,40,32.726216216216244,1.0470714767999632,10,2.4920277986597092
0.35478896,10,32.867368421052674,0.9029094790273012,120,113.26175251333402
0.3554817,40,33.04243243243246,1.142795327763402,10,1.9080421244276264
0.343666,40,33.04243243243246,1.0549802939156696,10,1.992645334467701
0.46765417,40,32.78729729729736,1.1742370755565887,10,5.371142616802608
0.37880695,40,32.45102564102564,1.062514951082305,10,3.600608173435699
0.37621498,40,32.45102564102564,1.1952975446138245,10,2.858936492241946
0.34175324,40,32.68894736842111,1.4154298530234277,10,0.4865003734542599
0.3541092,40,32.66621621621624,1.062411870845332,10,2.645000635197066
0.22253324,40,33.210000000000036,1.0766893186816942,10,0.0
0.27693856,40,33.29972972972979,0.9997410182644263,10,0.009722165306049746
0.32791546,30,31.96487179487184,0.332945416748628,15,11.207864750683553
0.34273493,30,32.85205128205132,0.3430702244910841,15,10.714645519374042
0.30918628,30,32.85205128205132,0.33733249795621373,15,9.736874226307519
-0.18792866,30,30.349459459459524,0.9052849746026229,15,0.12411566752736114
0.4580272,10,31.49108108108112,0.859055392827147,120,117.95445823725272
0.31998295,10,32.6975675675676,0.761543756324607,120,113.09420223684975
0.36723036,30,33.45222222222225,0.805660390979404,15,8.536386121497152
0.26710546,40,33.84888888888895,0.8702138086793656,10,0.0
0.21464126,30,34.96789473684214,0.6534148070851958,15,3.2042689393027346
0.18614718,30,34.8845945945946,0.8148634769254768,15,1.625503559199168
0.39875174,40,34.30837837837839,0.7927629881133064,10,3.690358833504288
0.43043825,10,33.274864864864924,1.365606872702011,120,112.8102481125027
0.26978952,30,32.44105263157894,0.7948767445699682,15,6.6782492799898305
0.28495574,30,33.847894736842136,1.139422457556919,15,4.0036654653608394
0.24917325,30,33.97684210526319,1.106380077071209,15,2.966455270611414
0.38275987,40,32.873684210526335,1.1673097953925369,10,2.7725628961750504
0.38434288,10,32.39324324324326,1.3512277151984173,120,112.38090460583598
0.34614256,40,33.093783783783806,1.0672709826551845,10,1.9541384215626785
0.3360484,30,33.724594594594635,1.18682430932572,15,5.422735329208126
0.33210024,40,31.998947368421113,1.3271592931042169,10,1.3282636017045544
0.40773344,40,31.943684210526328,1.2151142493103229,10,4.212747327345216
0.46851987,10,31.969473684210584,0.8244836539561122,120,117.96370394117007
0.5508558,10,31.91810810810813,0.9430244490645926,120,119.89244356322885
0.32044005,30,31.91810810810813,1.0233795895519944,15,7.578195526860201
0.37575313,40,32.574736842105324,1.1101808938982631,10,3.146952423000611
0.31979108,40,32.54842105263157,1.086875797336152,10,1.6109318734090747
0.36886632,40,32.51684210526321,1.0038366792238662,10,3.529963909043726
0.25706944,40,33.00783783783788,1.008765697301543,10,0.0
0.30038235,30,32.48894736842112,0.7189886942576448,15,7.92757947357231
0.37167594,30,32.25578947368422,0.4721422799368585,15,11.533777545430288
0.34913158,30,32.294864864864905,0.4224032963956487,15,11.067065944455166
0.4028017,10,32.19216216216222,0.3914651586501831,120,117.93456263142293
0.3176134,30,32.77000000000004,0.37059909117807627,15,9.905406207857842
0.33990645,30,32.996153846153845,0.3248981825945365,15,10.5765492097714
0.41092512,40,32.99171428571435,1.056931989898703,10,4.051379811044144
0.46846145,40,32.535000000000025,1.143159863274889,10,5.803044286828775
0.32320833,30,30.349459459459524,1.1979348533539393,15,8.357116433367146
0.40222034,40,30.960270270270314,1.2960567504268872,10,4.6260559508497225
0.43410403,40,30.960270270270314,1.2930613186833932,10,5.597544010526806
0.36021,40,31.264594594594655,0.9665859325447974,10,4.708775539013527
0.32655206,40,32.09270270270275,0.9450427243246018,10,2.978645976196116
0.24617057,30,34.96789473684214,0.6557044945057298,15,4.1386995432556555
0.18739055,80,34.30837837837839,1.2281655433982093,0,0.0
0.4016139,40,33.274864864864924,1.2281666604525927,10,2.632718537055686
0.3960396,40,32.29210526315791,1.0566993465469332,10,4.305586473500493
